GEO_ID,NAME_2010,Household_ct_2010,Mean_Income_2010,NAME_2011,Household_ct_2011,Mean_Income_2011,NAME_2012,Household_ct_2012,Mean_Income_2012,NAME_2013,Household_ct_2013,Mean_Income_2013,NAME_2014,Household_ct_2014,Mean_Income_2014,NAME_2015,Household_ct_2015,Mean_Income_2015,NAME_2016,Household_ct_2016,Mean_Income_2016,NAME_2017,Household_ct_2017,Mean_Income_2017,NAME_2018,Household_ct_2018,Mean_Income_2018,NAME_2019,Household_ct_2019,Mean_Income_2019,NAME_2021,Household_ct_2021,Mean_Income_2021,NAME_2022,Household_ct_2022,Mean_Income_2022,NAME_2023,Household_ct_2023,Mean_Income_2023
Geography,Geographic Area Name,Households!!Estimate!!Total,Households!!Estimate!!Mean income (dollars),Geographic Area Name,Households!!Estimate!!Total,Households!!Estimate!!Mean income (dollars),Geographic Area Name,Households!!Estimate!!Total,Households!!Estimate!!Mean income (dollars),Geographic Area Name,Households!!Estimate!!Total,Households!!Estimate!!Mean income (dollars),Geographic Area Name,Households!!Estimate!!Total,Households!!Estimate!!Mean income (dollars),Geographic Area Name,Households!!Estimate!!Total,Households!!Estimate!!Mean income (dollars),Geographic Area Name,Households!!Estimate!!Total,Households!!Estimate!!Mean income (dollars),Geographic Area Name,Households!!Estimate!!Total,Households!!Estimate!!Mean income (dollars),Geographic Area Name,Estimate!!Households!!Total,Estimate!!Households!!Mean income (dollars),Geographic Area Name,Estimate!!Households!!Total,Estimate!!Households!!Mean income (dollars),Geographic Area Name,Estimate!!Households!!Total,Estimate!!Households!!Mean income (dollars),Geographic Area Name,Estimate!!Households!!Total,Estimate!!Households!!Mean income (dollars),Geographic Area Name,Estimate!!Households!!Total,Estimate!!Households!!Mean income (dollars)
7950000US0100100,"PUMA 00100, Alabama",60910,49139,"PUMA 00100, Alabama",61561,49433,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA; Alabama",73756,52043,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA; Alabama",75696,51936,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA; Alabama",76673,52400,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA; Alabama",75182,57405,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA; Alabama",73861,56166,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA; Alabama",74754,58011,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA; Alabama",73731,64871,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA; Alabama",75025,61347,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA; Alabama",75352,65347,,,,,,
7950000US0100200,"PUMA 00200, Alabama",72454,64633,"PUMA 00200, Alabama",73753,65141,"Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest) PUMA, Alabama",66230,68557,"Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest) PUMA, Alabama",67746,75369,"Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest) PUMA, Alabama",67856,78591,"Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest) PUMA, Alabama",66648,74451,"Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest) PUMA, Alabama",70657,78085,"Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest) PUMA, Alabama",70673,82893,"Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest) PUMA, Alabama",72460,83860,"Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest) PUMA, Alabama",71932,91029,"Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest) PUMA, Alabama",82547,108956,,,,,,
7950000US0100300,"PUMA 00300, Alabama",88308,79413,"PUMA 00300, Alabama",92068,78277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7950000US0100400,"PUMA 00400, Alabama",47386,47768,"PUMA 00400, Alabama",49411,49226,"DeKalb & Jackson Counties PUMA, Alabama",42437,48871,"DeKalb & Jackson Counties PUMA, Alabama",41178,47627,"DeKalb & Jackson Counties PUMA, Alabama",44174,47154,"DeKalb & Jackson Counties PUMA, Alabama",47802,48279,"DeKalb & Jackson Counties PUMA, Alabama",45741,50295,"DeKalb & Jackson Counties PUMA, Alabama",46448,56226,"DeKalb & Jackson Counties PUMA, Alabama",47149,56046,"DeKalb & Jackson Counties PUMA, Alabama",44897,56717,"DeKalb & Jackson Counties PUMA, Alabama",46220,64745,,,,,,
7950000US0100500,"PUMA 00500, Alabama",73455,48636,"PUMA 00500, Alabama",75023,52846,"Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast) PUMA, Alabama",43476,65994,"Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast) PUMA, Alabama",42369,61446,"Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast) PUMA, Alabama",45331,63829,"Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast) PUMA, Alabama",44200,75834,"Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast) PUMA, Alabama",45905,73560,"Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast) PUMA, Alabama",44484,69025,"Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast) PUMA, Alabama",48005,75025,"Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast) PUMA, Alabama",48510,73782,"Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast) PUMA, Alabama",51773,95810,,,,,,
7950000US0100600,"PUMA 00600, Alabama",57902,54887,"PUMA 00600, Alabama",58755,59950,"Morgan & Lawrence Counties--Decatur City PUMA, Alabama",59790,55068,"Morgan & Lawrence Counties--Decatur City PUMA, Alabama",60129,56042,"Morgan & Lawrence Counties--Decatur City PUMA, Alabama",58351,58085,"Morgan & Lawrence Counties--Decatur City PUMA, Alabama",60697,60268,"Morgan & Lawrence Counties--Decatur City PUMA, Alabama",57753,58555,"Morgan & Lawrence Counties--Decatur City PUMA, Alabama",56691,61490,"Morgan & Lawrence Counties--Decatur City PUMA, Alabama",57863,67720,"Morgan & Lawrence Counties--Decatur City PUMA, Alabama",59315,71479,"Morgan & Lawrence Counties--Decatur City PUMA, Alabama",60796,74705,,,,,,
7950000US0100700,"PUMA 00700, Alabama",51038,42102,"PUMA 00700, Alabama",52795,41478,"Cullman & Winston Counties PUMA, Alabama",40733,47162,"Cullman & Winston Counties PUMA, Alabama",41254,52070,"Cullman & Winston Counties PUMA, Alabama",39633,49940,"Cullman & Winston Counties PUMA, Alabama",39474,50647,"Cullman & Winston Counties PUMA, Alabama",39104,52790,"Cullman & Winston Counties PUMA, Alabama",39718,54976,"Cullman & Winston Counties PUMA, Alabama",38846,64468,"Cullman & Winston Counties PUMA, Alabama",42202,59674,"Cullman & Winston Counties PUMA, Alabama",43170,72066,,,,,,
7950000US0100800,"PUMA 00800, Alabama",77386,54522,"PUMA 00800, Alabama",80979,51759,"St. Clair & Blount Counties PUMA, Alabama",53386,58097,"St. Clair & Blount Counties PUMA, Alabama",52536,60781,"St. Clair & Blount Counties PUMA, Alabama",52619,57165,"St. Clair & Blount Counties PUMA, Alabama",51827,62073,"St. Clair & Blount Counties PUMA, Alabama",51962,62759,"St. Clair & Blount Counties PUMA, Alabama",53587,60853,"St. Clair & Blount Counties PUMA, Alabama",50931,65377,"St. Clair & Blount Counties PUMA, Alabama",54977,76884,"St. Clair & Blount Counties PUMA, Alabama",55038,76540,,,,,,
7950000US0100901,"PUMA 00901, Alabama",37854,45746,"PUMA 00901, Alabama",39623,47376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
