"GEO_ID","NAME","S1901_C03_001E","S1901_C03_001M","S1901_C04_001E","S1901_C04_001M","S1901_C02_001M","S1901_C02_001E","S1901_C01_001M","S1901_C01_001E","S1901_C02_002E","S1901_C02_002M","S1901_C01_002M","S1901_C01_002E","S1901_C04_002M","S1901_C04_002E","S1901_C03_002M","S1901_C03_002E","S1901_C01_003E","S1901_C01_003M","S1901_C02_003E","S1901_C02_003M","S1901_C04_003E","S1901_C04_003M","S1901_C03_003M","S1901_C03_003E","S1901_C04_004E","S1901_C04_004M","S1901_C03_004M","S1901_C03_004E","S1901_C02_004M","S1901_C02_004E","S1901_C01_004M","S1901_C01_004E","S1901_C04_005E","S1901_C04_005M","S1901_C03_005M","S1901_C03_005E","S1901_C02_005M","S1901_C02_005E","S1901_C01_005M","S1901_C01_005E","S1901_C04_006E","S1901_C04_006M","S1901_C03_006M","S1901_C03_006E","S1901_C02_006M","S1901_C02_006E","S1901_C01_006M","S1901_C01_006E","S1901_C01_007E","S1901_C01_007M","S1901_C04_007M","S1901_C04_007E","S1901_C03_007M","S1901_C03_007E","S1901_C02_007M","S1901_C02_007E","S1901_C01_008E","S1901_C01_008M","S1901_C04_008E","S1901_C04_008M","S1901_C03_008M","S1901_C03_008E","S1901_C02_008M","S1901_C02_008E","S1901_C01_009E","S1901_C01_009M","S1901_C02_009E","S1901_C02_009M","S1901_C03_009E","S1901_C03_009M","S1901_C04_009E","S1901_C04_009M","S1901_C01_010M","S1901_C02_010E","S1901_C02_010M","S1901_C01_010E","S1901_C03_010E","S1901_C03_010M","S1901_C04_010E","S1901_C04_010M","S1901_C02_011E","S1901_C02_011M","S1901_C01_011M","S1901_C01_011E","S1901_C04_011M","S1901_C04_011E","S1901_C03_011M","S1901_C03_011E","S1901_C01_012E","S1901_C01_012M","S1901_C02_012E","S1901_C02_012M","S1901_C04_012E","S1901_C04_012M","S1901_C03_012M","S1901_C03_012E","S1901_C02_013M","S1901_C02_013E","S1901_C01_013M","S1901_C01_013E","S1901_C03_013E","S1901_C03_013M","S1901_C04_013M","S1901_C04_013E","S1901_C01_014E","S1901_C01_014M","S1901_C02_014E","S1901_C02_014M","S1901_C04_014M","S1901_C03_014E","S1901_C03_014M","S1901_C04_014E","S1901_C02_015E","S1901_C02_015M","S1901_C01_015M","S1901_C01_015E","S1901_C04_015M","S1901_C04_015E","S1901_C03_015M","S1901_C03_015E","S1901_C01_016E","S1901_C01_016M","S1901_C02_016E","S1901_C02_016M","S1901_C03_016E","S1901_C03_016M","S1901_C04_016E","S1901_C04_016M",
"Geography","Geographic Area Name","Married-couple families!!Estimate!!Total","Married-couple families!!Margin of Error!!Total","Nonfamily households!!Estimate!!Total","Nonfamily households!!Margin of Error!!Total","Families!!Margin of Error!!Total","Families!!Estimate!!Total","Households!!Margin of Error!!Total","Households!!Estimate!!Total","Families!!Estimate!!Less than $10,000","Families!!Margin of Error!!Less than $10,000","Households!!Margin of Error!!Less than $10,000","Households!!Estimate!!Less than $10,000","Nonfamily households!!Margin of Error!!Less than $10,000","Nonfamily households!!Estimate!!Less than $10,000","Married-couple families!!Margin of Error!!Less than $10,000","Married-couple families!!Estimate!!Less than $10,000","Households!!Estimate!!$10,000 to $14,999","Households!!Margin of Error!!$10,000 to $14,999","Families!!Estimate!!$10,000 to $14,999","Families!!Margin of Error!!$10,000 to $14,999","Nonfamily households!!Estimate!!$10,000 to $14,999","Nonfamily households!!Margin of Error!!$10,000 to $14,999","Married-couple families!!Margin of Error!!$10,000 to $14,999","Married-couple families!!Estimate!!$10,000 to $14,999","Nonfamily households!!Estimate!!$15,000 to $24,999","Nonfamily households!!Margin of Error!!$15,000 to $24,999","Married-couple families!!Margin of Error!!$15,000 to $24,999","Married-couple families!!Estimate!!$15,000 to $24,999","Families!!Margin of Error!!$15,000 to $24,999","Families!!Estimate!!$15,000 to $24,999","Households!!Margin of Error!!$15,000 to $24,999","Households!!Estimate!!$15,000 to $24,999","Nonfamily households!!Estimate!!$25,000 to $34,999","Nonfamily households!!Margin of Error!!$25,000 to $34,999","Married-couple families!!Margin of Error!!$25,000 to $34,999","Married-couple families!!Estimate!!$25,000 to $34,999","Families!!Margin of Error!!$25,000 to $34,999","Families!!Estimate!!$25,000 to $34,999","Households!!Margin of Error!!$25,000 to $34,999","Households!!Estimate!!$25,000 to $34,999","Nonfamily households!!Estimate!!$35,000 to $49,999","Nonfamily households!!Margin of Error!!$35,000 to $49,999","Married-couple families!!Margin of Error!!$35,000 to $49,999","Married-couple families!!Estimate!!$35,000 to $49,999","Families!!Margin of Error!!$35,000 to $49,999","Families!!Estimate!!$35,000 to $49,999","Households!!Margin of Error!!$35,000 to $49,999","Households!!Estimate!!$35,000 to $49,999","Households!!Estimate!!$50,000 to $74,999","Households!!Margin of Error!!$50,000 to $74,999","Nonfamily households!!Margin of Error!!$50,000 to $74,999","Nonfamily households!!Estimate!!$50,000 to $74,999","Married-couple families!!Margin of Error!!$50,000 to $74,999","Married-couple families!!Estimate!!$50,000 to $74,999","Families!!Margin of Error!!$50,000 to $74,999","Families!!Estimate!!$50,000 to $74,999","Households!!Estimate!!$75,000 to $99,999","Households!!Margin of Error!!$75,000 to $99,999","Nonfamily households!!Estimate!!$75,000 to $99,999","Nonfamily households!!Margin of Error!!$75,000 to $99,999","Married-couple families!!Margin of Error!!$75,000 to $99,999","Married-couple families!!Estimate!!$75,000 to $99,999","Families!!Margin of Error!!$75,000 to $99,999","Families!!Estimate!!$75,000 to $99,999","Households!!Estimate!!$100,000 to $149,999","Households!!Margin of Error!!$100,000 to $149,999","Families!!Estimate!!$100,000 to $149,999","Families!!Margin of Error!!$100,000 to $149,999","Married-couple families!!Estimate!!$100,000 to $149,999","Married-couple families!!Margin of Error!!$100,000 to $149,999","Nonfamily households!!Estimate!!$100,000 to $149,999","Nonfamily households!!Margin of Error!!$100,000 to $149,999","Households!!Margin of Error!!$150,000 to $199,999","Families!!Estimate!!$150,000 to $199,999","Families!!Margin of Error!!$150,000 to $199,999","Households!!Estimate!!$150,000 to $199,999","Married-couple families!!Estimate!!$150,000 to $199,999","Married-couple families!!Margin of Error!!$150,000 to $199,999","Nonfamily households!!Estimate!!$150,000 to $199,999","Nonfamily households!!Margin of Error!!$150,000 to $199,999","Families!!Estimate!!$200,000 or more","Families!!Margin of Error!!$200,000 or more","Households!!Margin of Error!!$200,000 or more","Households!!Estimate!!$200,000 or more","Nonfamily households!!Margin of Error!!$200,000 or more","Nonfamily households!!Estimate!!$200,000 or more","Married-couple families!!Margin of Error!!$200,000 or more","Married-couple families!!Estimate!!$200,000 or more","Households!!Estimate!!Median income (dollars)","Households!!Margin of Error!!Median income (dollars)","Families!!Estimate!!Median income (dollars)","Families!!Margin of Error!!Median income (dollars)","Nonfamily households!!Estimate!!Median income (dollars)","Nonfamily households!!Margin of Error!!Median income (dollars)","Married-couple families!!Margin of Error!!Median income (dollars)","Married-couple families!!Estimate!!Median income (dollars)","Families!!Margin of Error!!Mean income (dollars)","Families!!Estimate!!Mean income (dollars)","Households!!Margin of Error!!Mean income (dollars)","Households!!Estimate!!Mean income (dollars)","Married-couple families!!Estimate!!Mean income (dollars)","Married-couple families!!Margin of Error!!Mean income (dollars)","Nonfamily households!!Margin of Error!!Mean income (dollars)","Nonfamily households!!Estimate!!Mean income (dollars)","Households!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Households!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Families!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Families!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Nonfamily households!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Married-couple families!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Married-couple families!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Nonfamily households!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Families!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Families!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Households!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Households!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Nonfamily households!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Nonfamily households!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Married-couple families!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Married-couple families!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Households!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Households!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Families!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Families!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Married-couple families!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Married-couple families!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Nonfamily households!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Nonfamily households!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months",
"7950000US0100100","PUMA 00100, Alabama","30850","2107","19393","1858","2373","41517","2382","60910","6.2","2.1","2.0","11.7","4.4","23.5","1.9","2.8","8.7","2.0","5.1","1.9","16.6","4.6","2.2","4.0","18.9","3.9","2.5","9.3","2.4","13.6","2.1","14.5","12.6","3.6","2.2","8.7","3.0","11.5","2.1","11.9","14.8","3.8","3.1","15.3","2.7","15.1","2.2","15.1","17.9","2.7","3.1","8.3","4.2","25.6","3.5","21.8","9.6","1.9","2.4","1.6","3.4","16.7","2.5","13.0","7.5","1.5","9.9","1.9","12.8","2.5","2.4","2.4","0.9","1.9","1.0","1.7","2.5","1.4","0.3","0.6","1.9","1.1","0.7","1.3","0.9","0.0","1.4","2.3","37638","2752","48028","4269","19141","2143","5295","58544","3434","58366","2536","49139","N","N","2737","26938","31.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","33.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","29.0","(X)",
"7950000US0100200","PUMA 00200, Alabama","28958","1973","31391","2699","1887","41063","2372","72454","8.6","2.5","2.0","12.0","3.9","18.2","0.9","1.6","6.4","1.7","3.1","1.5","11.5","3.3","1.4","1.9","16.8","3.5","1.5","3.1","2.1","7.3","1.9","11.3","14.7","3.1","2.8","9.6","2.4","11.4","2.0","13.0","13.2","3.0","2.4","10.4","1.9","11.0","1.7","12.4","15.9","2.1","3.1","12.5","3.4","20.3","2.9","17.8","9.4","1.7","6.3","2.2","3.0","15.0","2.2","12.0","11.2","1.7","16.3","2.9","21.2","3.7","4.1","1.7","1.1","6.7","1.9","4.3","8.9","2.5","1.1","0.8","5.7","1.7","1.2","4.0","1.3","1.5","2.4","7.9","42264","2998","60084","3700","26959","3299","5594","80092","5110","80749","3938","64633","N","N","5133","41852","31.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","31.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","30.5","(X)",
"7950000US0100300","PUMA 00300, Alabama","53110","2785","23110","2155","2204","65198","2093","88308","3.1","1.2","1.2","5.1","3.4","11.4","0.9","1.4","3.3","0.9","2.1","0.7","7.7","2.6","0.6","1.0","13.5","3.5","2.0","6.1","1.9","8.3","1.6","9.7","12.3","3.3","1.6","6.3","1.6","7.3","1.4","8.3","20.1","4.5","1.9","11.0","2.0","12.5","1.8","14.4","18.2","1.9","3.9","18.2","2.5","17.7","2.3","17.8","13.4","2.0","9.4","2.7","2.8","15.5","2.5","14.8","16.5","1.6","19.8","1.9","23.5","2.4","6.4","2.4","1.1","7.7","1.5","5.8","9.5","1.9","0.2","0.4","6.7","1.4","1.1","5.2","0.8","0.9","1.7","8.1","61255","3279","71791","5957","37813","3358","6411","83942","4623","89712","3701","79413","N","N","5830","48678","32.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","31.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","33.0","(X)",
"7950000US0100400","PUMA 00400, Alabama","26947","1728","11710","1237","1876","35676","1777","47386","7.0","2.1","2.3","11.1","6.2","24.6","1.9","3.5","8.0","1.9","5.0","1.8","17.5","4.9","1.4","2.1","19.8","5.9","3.9","14.3","3.6","16.1","2.9","16.2","15.6","6.0","3.8","13.3","3.5","14.4","3.2","14.9","14.9","5.7","3.4","17.0","2.8","16.4","2.4","16.1","18.2","3.1","2.0","3.9","4.7","26.6","3.8","22.1","5.7","1.6","0.4","0.6","2.8","9.5","2.1","7.4","7.4","1.9","8.7","2.3","10.0","2.8","2.5","2.3","0.7","1.3","1.0","1.0","1.7","1.3","0.0","1.5","1.5","1.0","0.7","1.3","0.9","0.9","1.3","2.0","34757","3618","41120","3932","18412","3962","3142","49855","5408","54042","4276","47768","N","N","4095","26449","29.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","29.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","25.2","(X)",
"7950000US0100500","PUMA 00500, Alabama","39400","2771","21890","2387","2761","51565","2831","73455","7.9","1.9","1.8","10.9","3.9","19.6","1.0","2.8","7.5","1.4","3.2","1.2","18.4","4.0","1.2","2.0","30.6","5.9","2.2","9.9","2.4","12.3","2.7","17.6","9.3","3.4","2.6","10.8","2.4","11.6","2.1","10.9","13.1","3.9","3.5","20.2","3.0","20.6","2.3","18.9","13.3","1.8","2.3","5.6","3.1","19.4","2.6","17.0","10.1","2.2","1.7","1.7","3.7","15.8","3.0","12.9","7.8","1.6","10.5","2.2","13.7","2.8","1.4","1.1","0.8","2.3","1.1","1.6","3.0","1.4","0.0","0.8","1.8","0.9","0.7","1.4","0.6","0.3","1.2","2.4","37590","2381","44868","2879","18050","2311","4759","54643","3383","58243","2641","48636","N","N","2760","24668","26.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","26.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","26.2","(X)",
"7950000US0100600","PUMA 00600, Alabama","N","N","17051","1839","2356","40851","1806","57902","4.5","1.8","2.1","8.5","5.9","20.3","N","N","5.6","1.5","2.4","1.2","13.7","4.2","N","N","19.7","4.8","N","N","2.6","11.4","2.4","13.9","15.5","4.8","N","N","2.9","13.6","2.5","14.1","14.5","4.9","N","N","3.5","15.5","2.9","15.4","19.8","2.5","3.4","8.6","N","N","3.4","23.9","10.3","2.0","5.3","2.9","N","N","2.6","12.2","8.6","1.7","11.2","2.4","N","N","2.0","1.8","1.0","3.6","1.4","2.6","N","N","0.4","0.7","1.6","0.9","0.6","1.1","1.0","0.0","N","N","42172","4474","51922","3105","21916","4258","5843","63290","5381","64383","3791","54887","N","N","3403","30388","26.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","29.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","18.0","(X)",
"7950000US0100700","PUMA 00700, Alabama","N","N","14521","1634","2347","36517","1992","51038","8.9","2.4","2.2","13.5","5.5","28.2","N","N","8.6","1.8","4.4","1.9","18.1","4.1","N","N","17.7","4.9","N","N","3.5","19.9","2.9","18.4","17.4","5.0","N","N","2.6","11.0","2.4","13.5","9.6","4.3","N","N","2.8","16.3","2.6","14.9","16.8","2.8","3.1","8.0","N","N","3.7","19.9","8.1","1.7","0.9","0.8","N","N","2.4","11.0","4.3","1.3","6.0","1.7","N","N","0.0","1.2","0.9","1.6","1.3","1.2","N","N","0.0","1.2","1.1","0.7","0.5","0.8","1.2","0.0","N","N","32728","1968","40533","4229","16400","2448","3959","50161","3745","49375","2607","42102","N","N","1881","22203","29.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","30.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","24.3","(X)",
"7950000US0100800","PUMA 00800, Alabama","43121","2081","19799","1913","2572","57587","2321","77386","6.1","1.5","1.4","7.5","3.5","14.3","0.8","1.7","6.4","1.4","4.8","1.6","13.0","3.5","1.9","4.1","21.3","4.5","2.1","9.6","2.4","11.8","1.9","14.2","12.0","2.9","2.5","12.1","2.1","12.0","1.6","12.2","17.4","4.5","2.7","15.1","2.4","16.5","2.3","17.3","20.7","2.6","4.2","13.7","3.7","25.7","3.1","23.0","10.9","2.1","5.2","2.4","3.3","15.2","2.6","12.7","7.4","1.5","8.9","1.8","10.9","2.2","2.7","1.4","1.0","3.1","1.3","2.4","4.1","1.7","0.3","0.5","1.2","0.7","0.5","0.9","0.1","0.1","0.9","1.5","41836","2034","48798","3360","26383","4822","3592","57028","3805","60896","3071","54522","N","N","3017","33582","29.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","29.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","28.9","(X)",
"7950000US0100901","PUMA 00901, Alabama","N","N","19596","2057","1930","18258","2417","37854","12.5","4.0","3.4","16.5","5.2","20.4","N","N","10.0","2.2","3.8","1.8","15.9","4.1","N","N","16.8","5.0","N","N","3.7","14.9","3.3","16.0","9.9","3.5","N","N","3.8","15.8","2.8","12.4","16.4","4.9","N","N","4.4","19.5","3.3","17.7","12.0","2.7","3.8","9.9","N","N","3.0","13.5","5.1","1.8","3.7","2.1","N","N","2.7","6.3","5.6","2.1","6.0","2.9","N","N","5.3","2.5","1.3","3.8","2.3","2.3","N","N","0.9","0.9","4.0","2.2","1.1","2.3","1.0","0.7","N","N","31044","3064","36155","1957","22571","3308","4654","50789","7183","56557","4121","45746","N","N","4249","35223","28.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","34.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","22.8","(X)",
