"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M",
"Geography","Geographic Area Name","Estimate!!Households!!Total","Margin of Error!!Households!!Total","Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more","Estimate!!Households!!Median income (dollars)","Margin of Error!!Households!!Median income (dollars)","Estimate!!Households!!Mean income (dollars)","Margin of Error!!Households!!Mean income (dollars)","Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Families!!Total","Margin of Error!!Families!!Total","Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families!!Total!!$200,000 or more","Estimate!!Families!!Median income (dollars)","Margin of Error!!Families!!Median income (dollars)","Estimate!!Families!!Mean income (dollars)","Margin of Error!!Families!!Mean income (dollars)","Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Married-couple families!!Total","Margin of Error!!Married-couple families!!Total","Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families!!Total!!$200,000 or more","Estimate!!Married-couple families!!Median income (dollars)","Margin of Error!!Married-couple families!!Median income (dollars)","Estimate!!Married-couple families!!Mean income (dollars)","Margin of Error!!Married-couple families!!Mean income (dollars)","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Nonfamily households!!Total","Margin of Error!!Nonfamily households!!Total","Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households!!Total!!$200,000 or more","Estimate!!Nonfamily households!!Median income (dollars)","Margin of Error!!Nonfamily households!!Median income (dollars)","Estimate!!Nonfamily households!!Mean income (dollars)","Margin of Error!!Nonfamily households!!Mean income (dollars)","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months",
"7950000US0100100","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA; Alabama","75025","2314","8.4","1.8","5.7","1.6","12.6","2.1","10.9","1.9","15.4","2.4","17.9","2.3","13.0","2.1","11.4","1.8","2.6","0.8","2.2","0.8","46449","3081","61347","3280","34.8","(X)","(X)","(X)","(X)","(X)","48634","2462","4.2","1.5","1.4","1.0","9.3","2.4","11.1","2.6","15.7","3.2","18.7","3.0","17.3","2.9","15.6","2.4","3.8","1.3","2.8","1.1","61574","3321","73358","3994","(X)","(X)","34.1","(X)","(X)","(X)","36272","2469","2.1","1.2","1.4","1.2","5.1","2.4","9.6","2.6","13.1","3.1","20.6","3.1","20.5","3.7","19.3","2.8","4.8","1.7","3.6","1.4","72507","4762","N","N","(X)","(X)","(X)","(X)","(X)","(X)","26391","2153","16.2","4.2","13.5","4.0","20.6","4.1","10.4","3.0","17.0","4.2","14.7","3.5","3.2","1.7","3.1","1.7","0.4","0.5","1.0","1.3","24815","3009","36868","5372","(X)","(X)","(X)","(X)","34.7","(X)",
"7950000US0100200","Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest) PUMA, Alabama","71932","2637","2.9","1.2","4.9","1.4","6.6","1.7","9.2","1.7","10.9","2.3","15.6","2.8","15.5","2.5","19.1","2.8","9.6","2.0","5.7","1.3","74518","6371","91029","5271","31.7","(X)","(X)","(X)","(X)","(X)","53733","2388","1.7","0.9","2.5","1.2","4.8","2.3","7.1","1.9","8.7","2.4","18.6","3.5","16.8","3.1","20.4","3.6","12.5","2.7","7.0","1.6","82680","4900","100939","5457","(X)","(X)","31.6","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","96020","6934","N","N","(X)","(X)","(X)","(X)","(X)","(X)","18199","2278","8.2","4.1","12.4","4.2","14.0","4.0","13.8","4.4","17.6","5.4","11.4","3.4","9.7","5.0","10.8","3.7","0.6","0.8","1.4","1.3","35820","3466","56052","12423","(X)","(X)","(X)","(X)","31.5","(X)",
"7950000US0100301","Huntsville (North) & Madison (East) Cities PUMA, Alabama","57486","3171","6.0","2.1","3.4","1.3","8.5","2.2","8.5","2.5","13.6","2.6","15.2","2.8","9.7","2.0","17.9","2.7","8.8","2.3","8.4","1.8","63997","5816","89025","4985","25.4","(X)","(X)","(X)","(X)","(X)","36334","3002","4.3","2.0","0.3","0.3","7.7","2.9","8.0","3.1","11.3","3.1","11.6","2.5","11.2","2.9","22.4","3.9","11.1","2.9","12.1","2.6","90358","9907","108366","6813","(X)","(X)","23.7","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","120331","7345","N","N","(X)","(X)","(X)","(X)","(X)","(X)","21152","2838","11.0","4.4","8.0","3.6","12.0","3.7","9.1","3.8","16.0","5.0","20.6","6.1","7.1","3.2","11.6","3.4","2.9","2.4","1.7","2.1","42267","7846","53392","6955","(X)","(X)","(X)","(X)","27.5","(X)",
"7950000US0100302","Huntsville City (Central & South) PUMA, Alabama","45300","2617","7.1","2.2","6.9","2.4","12.9","2.8","11.2","2.8","10.7","2.4","14.0","2.3","10.4","2.3","13.8","2.1","6.7","1.9","6.3","1.5","51884","5513","78244","5763","27.5","(X)","(X)","(X)","(X)","(X)","26041","2139","5.2","2.7","3.7","2.3","11.0","3.9","8.9","3.3","10.5","4.2","12.4","3.0","10.5","3.3","17.6","3.5","10.1","3.1","10.1","2.5","72441","11993","99773","10345","(X)","(X)","28.1","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","102665","11519","N","N","(X)","(X)","(X)","(X)","(X)","(X)","19259","2199","10.4","3.3","11.2","4.5","16.7","4.7","14.0","4.2","13.1","3.4","15.4","3.8","7.6","2.7","8.6","2.5","2.1","1.4","0.8","0.6","33163","3523","46717","3405","(X)","(X)","(X)","(X)","26.6","(X)",
"7950000US0100400","DeKalb & Jackson Counties PUMA, Alabama","44897","1689","7.3","2.1","7.3","2.3","15.9","2.8","8.7","2.3","16.6","2.9","18.5","2.5","10.7","2.4","10.6","2.3","3.8","1.4","0.8","0.4","43406","3557","56717","3462","37.9","(X)","(X)","(X)","(X)","(X)","29905","1991","4.3","2.0","2.3","2.1","11.0","3.2","8.5","2.3","19.2","3.4","20.9","2.9","12.4","3.2","15.1","3.5","5.2","2.0","1.0","0.6","55782","6050","67020","4343","(X)","(X)","37.9","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","62349","4461","N","N","(X)","(X)","(X)","(X)","(X)","(X)","14992","1904","15.6","5.0","17.4","4.8","25.6","6.0","8.6","3.8","10.6","4.0","14.0","5.4","6.1","3.8","1.4","1.1","0.3","0.5","0.4","0.6","20782","3036","34076","6272","(X)","(X)","(X)","(X)","36.2","(X)",
"7950000US0100500","Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast) PUMA, Alabama","48510","2293","6.7","1.6","3.8","1.0","11.5","2.1","8.0","2.1","14.4","2.8","18.9","3.2","12.3","2.9","13.6","2.7","5.7","1.9","5.1","1.8","56276","3216","73782","4604","38.7","(X)","(X)","(X)","(X)","(X)","35464","2395","3.6","1.6","1.7","1.0","7.5","2.1","6.6","2.4","13.1","3.1","21.6","4.0","15.2","3.9","16.7","3.4","7.1","2.4","6.7","2.4","67317","7543","86597","6268","(X)","(X)","38.5","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","76072","3658","N","N","(X)","(X)","(X)","(X)","(X)","(X)","13046","1624","17.8","4.4","10.9","3.3","21.5","5.3","10.0","4.3","17.7","5.3","10.5","4.6","6.6","3.5","4.2","2.7","0.2","0.2","0.6","1.1","24863","3490","35682","4401","(X)","(X)","(X)","(X)","37.1","(X)",
"7950000US0100600","Morgan & Lawrence Counties--Decatur City PUMA, Alabama","59315","2029","7.4","1.9","5.3","1.6","10.5","2.2","10.9","2.2","12.6","2.1","19.6","2.6","11.5","2.4","13.8","2.5","4.5","1.5","3.8","1.3","53447","2971","71479","4628","32.5","(X)","(X)","(X)","(X)","(X)","40769","2323","5.4","2.1","3.7","1.8","6.2","2.3","9.6","2.7","11.6","2.3","23.9","3.6","13.2","3.1","17.0","3.3","5.1","1.7","4.3","1.5","63475","5229","79291","5014","(X)","(X)","32.0","(X)","(X)","(X)","30304","2202","3.0","1.6","3.4","2.1","3.5","1.7","7.1","2.7","9.6","2.2","24.5","4.2","15.7","3.6","21.1","4.0","6.5","2.3","5.6","2.0","73899","4467","N","N","(X)","(X)","(X)","(X)","(X)","(X)","18546","2145","13.5","3.9","8.6","3.1","20.7","4.3","14.2","4.4","16.9","4.3","10.8","3.5","3.7","1.9","5.6","3.3","3.1","3.0","2.8","2.2","29779","4579","50267","9656","(X)","(X)","(X)","(X)","32.6","(X)",
"7950000US0100700","Cullman & Winston Counties PUMA, Alabama","42202","1605","6.2","1.8","6.2","2.0","12.7","2.7","13.5","2.9","14.4","2.4","19.1","3.1","13.4","3.0","9.0","2.3","2.9","1.4","2.6","1.3","47105","3856","59674","4084","40.7","(X)","(X)","(X)","(X)","(X)","29706","1538","3.6","1.5","1.6","1.1","8.0","2.5","11.3","2.8","15.6","2.9","23.4","4.3","16.8","3.6","12.4","3.2","3.4","1.7","3.7","1.8","59249","3653","71067","4983","(X)","(X)","41.5","(X)","(X)","(X)","22040","1583","1.6","1.0","1.3","1.2","5.3","2.2","10.6","3.5","14.0","3.2","23.4","4.6","20.8","4.7","14.0","4.1","4.2","2.2","4.8","2.4","67671","6539","N","N","(X)","(X)","(X)","(X)","(X)","(X)","12496","1617","13.9","5.3","17.3","6.3","28.3","6.2","17.7","6.5","9.6","3.1","8.7","4.3","2.4","2.4","0.3","0.5","1.7","2.2","0.1","0.1","21033","1809","28643","3958","(X)","(X)","(X)","(X)","33.3","(X)",
"7950000US0100800","St. Clair & Blount Counties PUMA, Alabama","54977","1503","6.2","1.9","6.2","1.9","7.6","2.6","9.7","2.6","13.2","3.0","17.3","3.0","12.6","2.6","17.9","3.2","5.4","1.6","3.9","1.2","60931","4615","76884","4662","35.3","(X)","(X)","(X)","(X)","(X)","39870","1943","1.8","1.1","4.4","2.3","5.2","2.6","9.1","3.2","13.3","3.6","17.5","3.7","15.6","3.7","21.7","4.1","6.5","2.0","4.8","1.6","73365","7360","87954","7388","(X)","(X)","36.7","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","83130","4793","N","N","(X)","(X)","(X)","(X)","(X)","(X)","15107","1891","18.1","5.8","11.0","4.5","15.8","6.1","10.0","3.8","14.7","5.1","14.2","5.1","5.4","2.4","7.5","3.8","1.7","2.4","1.5","1.8","30274","7179","46203","8938","(X)","(X)","(X)","(X)","30.5","(X)",
