"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M",
"Geography","Geographic Area Name","Estimate!!Households!!Total","Margin of Error!!Households!!Total","Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more","Estimate!!Households!!Median income (dollars)","Margin of Error!!Households!!Median income (dollars)","Estimate!!Households!!Mean income (dollars)","Margin of Error!!Households!!Mean income (dollars)","Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Families!!Total","Margin of Error!!Families!!Total","Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families!!Total!!$200,000 or more","Estimate!!Families!!Median income (dollars)","Margin of Error!!Families!!Median income (dollars)","Estimate!!Families!!Mean income (dollars)","Margin of Error!!Families!!Mean income (dollars)","Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Married-couple families!!Total","Margin of Error!!Married-couple families!!Total","Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families!!Total!!$200,000 or more","Estimate!!Married-couple families!!Median income (dollars)","Margin of Error!!Married-couple families!!Median income (dollars)","Estimate!!Married-couple families!!Mean income (dollars)","Margin of Error!!Married-couple families!!Mean income (dollars)","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Nonfamily households!!Total","Margin of Error!!Nonfamily households!!Total","Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households!!Total!!$200,000 or more","Estimate!!Nonfamily households!!Median income (dollars)","Margin of Error!!Nonfamily households!!Median income (dollars)","Estimate!!Nonfamily households!!Mean income (dollars)","Margin of Error!!Nonfamily households!!Mean income (dollars)","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months",
"795P200US0100100","Lauderdale, Colbert & Franklin Counties PUMA; Alabama","76691","1859","6.9","1.7","6.5","1.7","9.7","1.7","8.5","1.7","13.8","2.4","18.7","2.5","14.3","2.3","12.9","1.9","4.8","1.2","4.0","1.1","55116","3490","71860","3865","40.1","(X)","(X)","(X)","(X)","(X)","49537","2295","3.9","1.8","2.5","1.2","6.0","1.9","7.9","1.9","11.0","2.6","21.3","3.1","19.1","3.3","16.2","2.8","6.7","1.5","5.4","1.6","72904","4057","86943","4906","(X)","(X)","45.9","(X)","(X)","(X)","37719","2402","3.0","2.0","0.0","0.1","3.9","1.8","5.8","2.0","10.6","2.6","21.3","3.3","20.6","3.8","20.1","3.5","7.8","2.0","6.8","1.9","81478","5459","N","N","(X)","(X)","(X)","(X)","(X)","(X)","27154","2632","12.4","3.3","14.1","3.7","18.4","3.8","8.9","2.5","18.7","4.5","15.3","3.3","4.9","2.0","5.6","2.6","0.5","0.6","1.2","1.0","30198","4767","41307","4868","(X)","(X)","(X)","(X)","29.2","(X)",
"795P200US0100200","Limestone County PUMA; Alabama","40036","1324","5.6","2.1","3.3","1.9","5.3","1.8","4.6","2.0","8.4","2.6","17.5","3.3","14.7","3.1","16.8","3.8","10.2","2.4","13.5","3.4","84220","4290","106470","8166","40.2","(X)","(X)","(X)","(X)","(X)","27596","1777","1.8","1.7","2.1","1.7","2.3","1.3","3.0","1.7","8.1","3.3","15.3","3.9","15.7","3.8","22.8","4.9","12.9","3.0","16.1","4.6","102314","12133","125849","11676","(X)","(X)","42.6","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","112450","14470","N","N","(X)","(X)","(X)","(X)","(X)","(X)","12440","1704","14.5","6.0","6.0","4.3","12.2","5.5","8.6","5.4","9.5","4.4","22.1","7.2","13.6","6.6","4.9","3.2","2.9","2.7","5.7","4.4","47815","9562","59351","8913","(X)","(X)","(X)","(X)","33.6","(X)",
"795P200US0100300","Morgan & Lawrence Counties--Decatur City PUMA; Alabama","62616","1678","6.5","1.7","4.6","1.5","8.4","2.0","8.9","1.9","12.5","2.3","19.2","2.8","14.5","2.1","15.4","2.6","5.8","1.3","4.2","1.4","60663","3595","79121","5793","40.7","(X)","(X)","(X)","(X)","(X)","41706","2379","2.5","1.3","3.2","1.5","5.0","1.8","7.2","2.9","12.5","2.7","18.2","3.3","17.2","3.0","20.2","3.6","8.0","1.9","6.0","2.0","77717","6130","95713","8231","(X)","(X)","41.4","(X)","(X)","(X)","30558","2235","0.9","0.6","1.5","1.4","1.9","1.0","4.2","2.1","10.8","3.2","19.7","3.6","20.6","3.6","22.9","4.1","9.8","2.5","7.7","2.8","88150","5240","N","N","(X)","(X)","(X)","(X)","(X)","(X)","20910","2116","15.2","4.1","8.7","3.2","15.5","4.1","15.1","3.7","12.3","4.0","18.2","5.0","8.8","3.6","4.5","2.3","1.1","1.3","0.7","0.7","32152","3108","42344","4900","(X)","(X)","(X)","(X)","38.8","(X)",
"795P200US0100401","Madison County (North & East)--Huntsville City (East) PUMA; Alabama","46531","2277","4.0","1.9","1.5","1.1","5.0","2.1","6.3","2.3","8.3","2.4","13.5","3.2","12.4","2.5","24.3","4.0","9.2","2.7","15.3","2.7","98410","9589","120132","7961","35.3","(X)","(X)","(X)","(X)","(X)","34888","2095","1.7","1.2","0.3","0.5","2.7","1.8","5.1","2.6","7.0","2.2","13.9","3.8","11.2","2.7","29.0","5.2","10.2","2.9","18.9","3.3","116913","10052","137702","9465","(X)","(X)","35.4","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","127777","8035","N","N","(X)","(X)","(X)","(X)","(X)","(X)","11643","2016","11.1","6.7","6.1","4.0","13.8","5.6","9.9","4.5","10.9","6.3","12.9","5.0","14.7","5.1","12.4","5.3","6.0","4.7","2.2","2.1","45355","11741","63021","10326","(X)","(X)","(X)","(X)","30.9","(X)",
"795P200US0100402","Huntsville (North & Far West), Madison (East) & Triana Cities PUMA; Alabama","69412","2737","4.9","1.9","3.8","1.6","5.2","1.4","6.5","2.3","9.5","2.1","15.6","2.8","12.2","1.9","21.9","2.7","9.1","1.8","11.4","1.7","81364","4668","106988","7018","34.6","(X)","(X)","(X)","(X)","(X)","41931","2847","2.7","1.9","4.8","2.4","3.2","1.8","5.2","2.7","7.0","2.2","11.0","3.1","10.5","2.4","26.5","3.6","12.3","2.8","16.8","2.7","108341","7940","130847","10759","(X)","(X)","33.6","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","127824","9248","N","N","(X)","(X)","(X)","(X)","(X)","(X)","27481","2442","9.0","4.1","2.5","1.9","9.1","2.8","9.2","4.1","13.1","3.6","22.7","5.0","14.3","3.7","12.6","3.9","4.4","2.0","3.0","1.5","55666","6555","67977","6640","(X)","(X)","(X)","(X)","36.1","(X)",
"795P200US0100403","Huntsville City (Central & South) PUMA; Alabama","45048","2454","6.7","2.2","2.8","1.2","7.2","2.2","9.3","3.7","14.8","3.3","16.2","3.7","11.1","2.5","13.1","2.3","6.5","1.5","12.2","2.3","63442","4752","106083","9941","31.0","(X)","(X)","(X)","(X)","(X)","24982","2049","3.0","1.8","0.8","1.0","3.5","2.0","5.7","2.4","10.9","4.7","16.9","4.1","12.9","3.2","16.8","3.3","10.1","2.5","19.5","3.7","89102","10660","146732","17234","(X)","(X)","31.4","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","123192","16428","N","N","(X)","(X)","(X)","(X)","(X)","(X)","20066","2218","11.5","4.2","5.3","2.4","12.3","4.5","13.8","6.5","19.7","5.7","14.8","5.5","8.9","3.8","8.4","2.9","2.0","1.3","3.2","1.9","42191","5347","55015","5053","(X)","(X)","(X)","(X)","30.3","(X)",
"795P200US0100501","Marshall & Madison (Far Southeast) Counties PUMA; Alabama","42074","1672","7.4","2.0","5.9","1.8","12.0","2.7","9.1","2.0","12.0","2.4","16.0","2.6","11.1","2.2","15.7","2.6","5.3","1.4","5.3","1.5","53554","3380","74469","4800","38.1","(X)","(X)","(X)","(X)","(X)","29012","1847","5.6","1.9","4.1","1.9","6.3","2.8","8.7","2.6","11.8","2.8","15.2","2.6","14.9","3.4","20.4","3.6","6.7","2.0","6.3","1.8","71610","9424","87347","6385","(X)","(X)","38.2","(X)","(X)","(X)","21080","1685","2.1","1.2","1.9","1.6","3.6","2.0","7.5","2.8","11.3","3.3","16.8","3.1","15.5","3.8","24.8","4.3","8.2","2.4","8.4","2.4","84244","11584","101152","7084","(X)","(X)","(X)","(X)","(X)","(X)","13062","1632","14.6","5.4","10.4","4.4","25.4","5.9","11.0","3.4","10.0","3.6","15.8","5.4","2.7","1.6","6.0","3.2","1.6","1.2","2.5","1.8","24856","3542","42490","5903","(X)","(X)","(X)","(X)","36.1","(X)",
"795P200US0100600","DeKalb & Jackson Counties PUMA; Alabama","48664","1361","8.4","2.1","6.2","1.6","12.2","2.4","10.4","2.2","13.6","2.7","18.8","2.7","10.8","2.2","12.7","2.8","4.7","1.9","2.2","0.9","49329","3266","63096","3664","36.5","(X)","(X)","(X)","(X)","(X)","31727","1919","4.0","1.7","2.1","1.2","8.5","2.5","8.6","2.8","16.1","3.9","22.5","3.4","12.5","3.0","15.9","3.7","6.5","2.7","3.1","1.4","60396","7633","76224","5075","(X)","(X)","38.6","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","73471","2804","N","N","(X)","(X)","(X)","(X)","(X)","(X)","16937","1691","17.1","5.3","14.6","4.6","19.1","5.2","15.3","3.9","12.5","3.8","10.9","3.7","5.2","3.1","3.4","2.0","1.3","1.1","0.4","0.7","24665","2623","34332","3709","(X)","(X)","(X)","(X)","28.8","(X)",
"795P200US0100700","Etowah & Cherokee Counties PUMA; Alabama","51005","1879","4.9","1.5","7.0","2.1","12.4","2.0","8.2","2.0","12.5","2.3","20.9","3.1","13.3","2.6","11.9","2.3","4.9","1.8","4.1","1.7","55579","4187","69313","4655","39.2","(X)","(X)","(X)","(X)","(X)","34082","2312","2.7","1.5","3.3","2.0","8.5","2.0","5.8","2.2","11.3","2.5","22.8","3.8","17.2","3.4","16.7","3.2","6.0","2.4","5.7","2.4","67329","3642","83545","6407","(X)","(X)","39.8","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","78863","8238","N","N","(X)","(X)","(X)","(X)","(X)","(X)","16923","1882","9.7","3.1","14.4","4.5","20.6","4.8","13.6","4.6","15.6","5.7","16.8","5.5","5.4","2.7","2.2","1.4","1.1","1.4","0.5","0.8","28038","4409","37295","4291","(X)","(X)","(X)","(X)","36.3","(X)",
"795P200US0100800","Calhoun County PUMA; Alabama","45701","1562","9.1","2.4","6.0","2.2","7.3","2.4","11.2","3.3","14.8","3.5","17.0","2.4","13.6","2.9","13.9","2.6","4.1","1.8","3.1","1.2","52819","5563","68554","5447","44.0","(X)","(X)","(X)","(X)","(X)","29317","2172","4.4","2.3","4.8","2.7","2.7","1.9","10.9","4.4","12.0","3.3","19.1","3.0","18.0","4.4","18.5","3.9","4.9","2.2","4.6","1.9","69301","6807","81886","6575","(X)","(X)","48.3","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","82338","7092","N","N","(X)","(X)","(X)","(X)","(X)","(X)","16384","2170","17.7","5.4","8.1","3.2","17.6","5.8","14.9","6.4","15.8","4.9","15.0","4.5","6.6","4.2","3.1","2.2","0.9","0.8","0.3","0.6","30125","4724","39522","7197","(X)","(X)","(X)","(X)","35.6","(X)",
